gpa,attendance,study_hours,assignment_rate,backlogs,participation,sleep_hours,stress_level,extracurricular,performance
2.749080237694725,75.9540892568109,7.054326947880082,75.95795722038332,0,Yes,7.026526238291278,Low,No,Good
3.9014286128198323,73.95909388148655,8.170132574722352,70.82247131291828,0,Yes,8.464296707371467,High,No,Good
3.46398788362281,51.282103290321785,3.254211089132491,57.29107155757177,2,Yes,7.019315243097773,Low,No,Average
3.197316968394073,67.06239138130782,6.6238668964629905,40.387861467382635,4,Yes,4.406778374968676,Low,Yes,At Risk
2.312037280884873,69.00978093929285,6.145713848293738,69.77435331404884,4,No,8.341484202639887,Medium,No,At Risk
2.3119890406724055,69.94113904484502,8.495473391094439,57.137559313734585,2,Yes,8.835820772025723,High,No,At Risk
2.116167224336399,79.00861846136661,9.154783544331345,84.0764980426321,3,Yes,5.736987190718318,Medium,Yes,At Risk
3.73235229154987,76.68012733634393,1.1094109432964814,41.43677591622901,0,Yes,7.984754435700102,Low,No,Average
3.2022300234864174,80.39525463967223,7.066179271529134,75.08966867834745,0,Yes,6.55955140632636,Medium,Yes,Good
3.416145155592091,88.2441630771064,1.4665221920775613,96.48845425036393,2,Yes,9.334716134364657,High,Yes,Average
2.041168988591605,90.64928693580467,5.939727985696203,50.46455602668997,2,Yes,9.07135334896444,High,Yes,At Risk
3.9398197043239884,85.90615381132471,3.588694561393104,68.29896944503572,3,Yes,7.152591989857854,Medium,Yes,Average
3.6648852816008435,97.77618479774674,3.760989395699271,45.48531950902829,4,No,8.149033274881567,Medium,No,At Risk
2.4246782213565523,50.91162913381808,4.176626531071209,77.54091473568116,1,No,9.300098206132624,Medium,Yes,At Risk
2.3636499344142012,59.788899284177305,6.591632041446491,73.03190083577354,4,No,6.974302060469653,Low,Yes,At Risk
2.3668090197068676,50.37814374890711,4.006449691018923,64.44193145276994,0,No,5.879504442932932,Medium,Yes,At Risk
2.6084844859190754,82.37373570773015,7.594291455312524,71.28262128842448,2,Yes,8.521996827457487,High,No,Average
3.049512863264476,94.90152744749935,4.640746470164827,93.79447950814061,3,Yes,5.320397528708151,High,Yes,Average
2.8638900372842313,62.174114828814965,1.6151788027896274,51.77765813866402,4,Yes,6.331186888036252,Low,No,At Risk
2.582458280396084,96.35172723981533,8.053838582356965,41.35387070232083,3,No,9.194363422640762,Low,No,Average
